[Wed Oct 15 16:54:02.366771 2014] [mpm_prefork:notice] [pid 1182] AH00163: Apache/2.4.10 (Ubuntu) PHP/5.6.0-1+deb.sury.org~precise+1 configured -- resuming normal operations
[Wed Oct 15 16:54:02.366824 2014] [core:notice] [pid 1182] AH00094: Command line: '/usr/sbin/apache2'
[Wed Oct 15 16:54:22.789840 2014] [:error] [pid 9472] [client 162.234.72.25:61246] No such customer: cus_4xqk6Jz9E9Vr1n, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:20:42.492835 2014] [mpm_prefork:notice] [pid 1182] AH00171: Graceful restart requested, doing restart
AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 127.0.1.1. Set the 'ServerName' directive globally to suppress this message
[Wed Oct 15 17:20:42.583068 2014] [mpm_prefork:notice] [pid 1182] AH00163: Apache/2.4.10 (Ubuntu) PHP/5.6.0-1+deb.sury.org~precise+1 configured -- resuming normal operations
[Wed Oct 15 17:20:42.583118 2014] [core:notice] [pid 1182] AH00094: Command line: '/usr/sbin/apache2'
[Wed Oct 15 17:21:18.134948 2014] [:error] [pid 9790] [client 162.234.72.25:61769] , referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:21:18.135009 2014] [:error] [pid 9790] [client 162.234.72.25:61769] No such customer: cus_4xrALwc8R1rLme, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:21:18.554516 2014] [:error] [pid 9790] [client 162.234.72.25:61769] , referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:21:18.554568 2014] [:error] [pid 9790] [client 162.234.72.25:61769] You passed an empty string for 'card'. We assume empty values are an attempt to unset a parameter; however 'card' cannot be unset. You should remove 'card' from your request or supply a non-empty value, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:47:13.179928 2014] [:error] [pid 9787] [client 162.234.72.25:62319] No such customer: cus_4xra6tC9EMlKuc, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:47:13.728065 2014] [:error] [pid 9787] [client 162.234.72.25:62319] You passed an empty string for 'card'. We assume empty values are an attempt to unset a parameter; however 'card' cannot be unset. You should remove 'card' from your request or supply a non-empty value, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
